id|setup|punchline
1|¿Por qué los programadores confunden Halloween con Navidad?|Porque Oct 31 == Dec 25.
2|¿Qué es un terapeuta?|1024 gigapeutas.
3|¿Por qué los programadores prefieren el modo oscuro?|Porque la luz atrae bugs.
4|¿Cuál es el animal más antiguo?|La cebra, porque está en blanco y negro.
5|¿Por qué Java y JavaScript se llevan mal?|Porque uno tiene clase y el otro no.
6|Un SELECT entra a un bar, se acerca a dos mesas y pregunta...|¿Puedo unirme?
7|¿Qué le dice un bit al otro?|Nos vemos en el bus.
8|¿Por qué los programadores odian la naturaleza?|Porque tiene muchos bugs.
9|Hay 10 tipos de personas en el mundo|Los que entienden binario y los que no.
10|¿Cuál es el colmo de un programador?|Que su esposa le diga que no tiene clase.
